Processed_Job_Title,Processed_Job_Description
gestion qualification donnée,poste vacants poste ouvert type désiré contrat débutant rémunération proposée confidentiel langue français genre indifférent description souhaitez engagez long terme sein dune entreprise expérimentée si possédez compétence solide français ainsi bonne maîtrise outil informatique tels gestion e-mail profil intéresse mission consistera qualifier apporter support service destinés client offrons également formation outil collaborateur si résidez zone atout supplémentaire exigence motivé dynamique date mot clé gestion qualification donnée
méthodiste gestion production,poste vacants poste ouvert type désiré temps plein contrat niveau licence bac genre indifférent description méthodiste responsable planifier développer optimiser méthode construction projet impliquant structure métalliques joue rôle clé processus fabrication travaille étroite collaboration équipe conception construction garantir processus fabrication efficaces sécurisés conformes norme qualité responsabilité lancement bon travail ordre fabrication cordonner responsable chef ’ atelier préparer réunion lancement créer lancer bon travail spécifiant tâche ressource nécessaire délai préparation planning production hebdomadaire collaborer département planification établir planning production réaliste fonction capacité priorité répartir tâche entre équipe opérateur tenant compte compétence charge travail suivi production journalier surveiller production tout long journée résoudre problème retard éventuel coordonner équipe étape production effectuées conformément spécification documentation problème production proposition solution identifier problème défaut production documenter leurs cause proposer solution collaboration bureau département qualité mettre place action correctives éviter récurrence problème rapport hebdomadaire mensuel rendement ouvrier compiler analyser donnée production établir rapport hebdomadaire mensuel rendement ouvrier conformité planning performance documentation optimisation processus production documenter processus production créant gamme fabrication détaillées identifier opportunité processus réduire temps production améliorer exigence diplôme génie industriel gestion production domaine connexe expérience préalable gestion production préférence secteur construction métallique connaissance méthode planification production compétence analytique identifier problème proposer solution excellentes compétence communication coordination différentes équipe maîtrise outil informatique logiciel gestion production capacité travailler sou pression respecter délai date mot clé métal gestion production communication informatique méthodiste gestion production
assistant comptable débutante,poste vacants poste ouvert type désiré temps plein contrat débutant niveau dut bac description recherche agent saisie comptable norme français centre filiale ’ groupe français implantée cherche développement assistant comptable norme français formation assuré sou responsabilité chef charge tâche suivant • saisie écriture comptable vente trésorerie • rapprochement bancaires • lettrage compte exigence diplôme étude comptable licence maîtrise français date mot clé saisie comptable comptable comptabilité assistant comptable débutante
responsable,poste vacants poste ouvert type désiré genre masculin description description définir mettre politique associant indicateur processus contrôle mettre place système management rédiger procédure si nécessaire surveiller performance rédiger consigne ’ environnement sécurité faire respecter assister équipe interne externe déploiement objectif suivi action mettre place système continue enquêter accident proposer amélioration prévenir risque professionnel document unique organiser mise place acteur cas secours mettre place programme prévention employé contribuer réduction impact néfastes industriel ’ environnement personnel société piloter ’ analyse aspect environnementaux risque professionnel participer formation personnel sensibilisation question ’ environnement santé sécurité participer conception ’ animation réponse situation ’ urgence plan prévention contrôler condition travail personnel assurer fiabilité installation communiquer expliquer objectif différent interlocuteur vue ’ obtenir résultat terme délai coût qualité… veiller gestion déchet dès tri sélectif source jusqu ’ traitement chez collecteur agrée réaliser réaliser veille réglementaire sécurité environnement assure organisme certificateur sécurité environnement exigence expérience compétence clé compétence connaissance comportement titulaire ’ diplôme technicien supérieur niveau bac formation prendre mesure adéquates respect exigence norme ’ esprit promouvoir vision auprès décideur interne externe adaptabilité flexibilité adapter activité organisation face évolution contrainte conviction influence comprendre attente interlocuteur interne externe adapter discours argument présentation gestion projet travailler sein ’ équipe plusieurs équipe projet gestion performance mettre place nouveau indicateur pertinents fonction objectif partager promouvoir meilleur pratique interne comme externe assistance maîtrise ’ ouvrage cadrage projet analyser caractéristique fonctionnelles environnementales technique relative type produit réaliser organisation contrainte fabrication sécurité gestion risque gestion qualité santé sécurité date mot clé responsable management
dessinateur bureau ’ étude,poste vacants poste ouvert type désiré temps plein contrat an langue français genre indifférent description élaboration dessin industriel mise place suivi projet élaboration ’ étude faisabilité représente dimensionne pièce objet ensemble mécanique dessine ensemble ’ aide nomenclature associée détermine calcule contrainte fonctionnelles physique dimensionnelles structurelles géométriques pièce exigence respect norme qualité maîtrise logiciel conception fabrication assisté ordinateur maîtrise logiciel conception dessin assisté ordinateur date mot clé métal précision construction métallique fabrication dessinateur bureau technicien
chargé client,poste vacants poste ouvert type désiré temps plein an niveau dut bac rémunération proposée entre langue français genre féminin description société pleine croissance gère exploite multinationale réservation taxi recrute chargé clientèle volet business mission chargé prise réservation téléphone suivi réservation traitement devis suivi e-mail clientèle assurer traitement réclamation client partenaire garantir satisfaction client professionnel partenaire contribuer ’ amélioration continue procédure mise place résolution demande client gestion flotte chauffeur partenaire gestion condition travail poste stable valorisant véritable plan carrière possibilité ’ évolution interne horaire équipe jour heure heure heure heure salaire salaire fixe très motivant compétitif rapport marché contrat formation rémunérée possibilité titularisation bout moi challenge journalier hebdomadaire mensuel exigence profil bon niveau français oral écrit exigé première expérience environnement service client fortement appréciée expérience réception ’ appel atout aisance outil bureautique informatique clavier souris ……etc dynamique sérieux ponctuel discipliné appliqué candidature envoyez appelez date mot clé réception prise réservation taxi service client front office office chargé client
technicien supérieur mécanique,poste vacants poste ouvert type désiré temps plein contrat niveau licence bac langue français anglais arabe genre masculin description groupe recrute technicien supérieur mécanique maintenance effectue dépannage surveillance matériel industriel planification ordre fabrication contrôle réglage machine production contrôle qualité exigence autonome responsable disponible ponctuel flexible date mot clé technicien supérieur groupe technicien supérieur mécanique
technicien pliage,poste vacants poste ouvert type désiré temps plein an genre masculin description travaux pliage connaissance tôlerie lecture plan exigence niveau bac fabrication métallique expérience fabrication métallique date mot clé société technologie technicien pliage
ouvrier,poste vacants poste ouvert type désiré temps plein contrat an niveau lycée niveau bac description société cherche ouvrier exigence expérience préalable domaine construction métallique cherchons agent sérieux dynamique date mot clé métal construction métallique technicien ouvrier métal ouvrier
comptable,poste vacants poste ouvert type désiré an niveau maîtrise bac langue français genre féminin description poste comptable exigence motivé dynamique date mot clé continuité comptable comptabilité gestion
commercial terrain motorisé,poste vacants poste ouvert type désiré an rémunération proposée entre langue français arabe genre indifférent description cadre activité société télécommunications distributeur officiel recrute commercial terrain motorisés spécialisés canal pro commercialiser produit opérateur exigence profil recherché motorisé expérience minimum an vente consommateur final appétence travail terrain date mot clé commercial terrain distribution opérateur télécommunications commercial terrain télécommunication distributeur commercialiser commercial gestion commerce
réceptionniste,poste vacants poste ouvert type désiré temps plein an niveau dut bac langue français anglais arabe italien genre indifférent description assurer client planifier réservation chambre effectuer comptabilité journalier facturation prestation note contrôle paiement différé organiser relation autres service exigence expérience professionnel tant réceptionniste ’ hôtel réceptionniste autre poste similaire connaissance fonctionnement site réservation comme attitude service clientèle excellent sens ’ organisation communication diplôme gestion hôtelier plus date mot clé réceptionniste réceptionniste ’ hôtel réceptionniste
juriste,poste vacants poste ouvert type désiré temps plein an niveau licence bac rémunération proposée confidentiel langue français anglais arabe genre féminin description assister juridique recherche rédaction document juridiques participer veille réglementaire législative domaine fournir conseil juridiques différent département contribuer gestion contrat litige contentieux assurer conformité réglementation vigueur recommander action correctives si nécessaire collaborer équipe interne résoudre problème juridiques assurer gestion efficace risque exigence diplôme droit maximum an poste similaire capacité travailler manière autonome équipe excellentes compétence communication rédaction sens rigueur travail capacité gérer plusieurs tâche simultanément respecter délai date mot clé juriste service communication juriste
technicien génie mécanique centrale a béton,poste vacants poste ouvert type désiré an niveau licence bac rémunération proposée confidentiel langue français arabe genre masculin description société job recrute technicien génie mécanique exigence saisir bon livraison système procéder a édition surveiller opérer installation sélectionner donnée production saisir paramètre quantité dosage mélange effectuer dépannage simple installation centrale date mot clé production mécanique job technicien génie mécanique centrale a béton
juriste,poste vacants poste ouvert type désiré temps plein an niveau licence bac langue français anglais arabe genre masculin description recrutons juriste motivé dynamique suivre dossier faire mise jour établir document juridiques date mot clé juriste droit tunisien tribunal avocat juriste
technicien maintenance,poste vacants poste ouvert type désiré temps plein an genre indifférent description technicien réparation diagnostic réparation moteur électriques partie hydraulique pompe exigence expérience minimum an réparation diagnostic panne identification pièce changer sociable aimant travail ’ équipe date mot clé réparation moteur électrique partie hydraulique irrigation technicien
développeur mobile,poste vacants poste ouvert type désiré an langue français genre indifférent description premier intégrateur leader solution télécommunications filiale groupe acteur industriel majeur présent marché ’ automobile ’ énergie télécommunication travers métier câble ’ électronique tic assistons client transformation digitale offre complète va conseil jusqu ’ mise place ’ exploitation solution mesure recrutons développeur mobile responsabilité générale collaborer ’ façon très proche afin ’ être très proche ’ utilisateur collaborer ’ façon générale tous membre ’ équipe projet autres développeur etc maîtriser processus publication application store ’ priorité ’ évidemment connaissance solide deux système ’ exploitation veiller rester jour nouvelle règle imposé analyser besoin client transformer fonctionnalité application service implémenterez agir qualité support technique cas difficulté liées application service partenaire client cas échéant assurer ’ livrables préparer documentation application service contribuer formation client utilisateur contribuer for agissant tant ’ lors phase soumission collaborer équipe gestion produit partenaire service technique aider identifier nouvelle fonctionnalité capacité exigence formation génie logiciel multimédia expérience souhaitée entre an connaissance requises manager mobile application distribution autres attention design in or have basic natif java studio distribution merci candidature mail suivant date
développeur,poste vacants poste ouvert type désiré temps plein description recherche développeur expérimenté rejoindre équipe dynamique tant développeur responsable conception développement maintenance site performants travaillerez projet stimulant collaborant équipe multidisciplinaires fournir solution technique exigence responsabilité principale développer tester déployer application utilisant collaborer équipe conception intégrer solution technique interface utilisateur assurer maintenance mise jour régulière site existant participer résolution problème technique performance compétence requises expérience approfondie développement maîtrise langage programmation tels connaissance base donnée capacité travailler système gestion contenu personnaliser thème compétence intégration solution tierce développement qualification diplôme informatique génie logiciel domaine connexe minimum année développement concentration particulière avantage environnement travail innovant opportunité formation continue développement professionnel avantage sociaux compétitifs projet stimulant variés processus candidature envoyez lettre motivation lien ver date mot clé développeur informatique génie logiciel
chef projet,poste vacants poste ouvert type désiré an langue français anglais genre indifférent description premier intégrateur leader solution télécommunications filiale groupe acteur industriel majeur présent marché ’ automobile ’ énergie télécommunication travers métier câble ’ électronique tic assistons client transformation digitale offre complète va conseil jusqu ’ mise place ’ exploitation solution mesure recrutons chef projet responsabilité générale cahier charge planning répartition tâche risque enjeu superviser mise point solution informatique tant coordinateur contrôler tant coordinateur qualité développement assurer suivi projet faire compte rendu hiérarchie comme client boucler projet temps heure répondant mieux budget attente exprimées assurer maintenance suivre ’ évolution projet exigence expérience souhaitée entre an software connaissance requises connaissance informatique solide primordiales mener mieux mission chef projet langage programmation … chef projet doit également également avoir maîtrise gestion projet connaissance métier client afin traduire plus aisément besoin solution informatique pertinentes merci candidature mail suivant date
architecte solution,poste vacants poste ouvert type désiré an niveau ingénieur langue français anglais genre indifférent description premier intégrateur leader solution télécommunications filiale groupe acteur industriel majeur présent marché ’ automobile ’ énergie télécommunication travers métier câble ’ électronique tic assistons client transformation digitale offre complète va conseil jusqu ’ mise place ’ exploitation solution mesure recrutons architecte solution responsabilité générale veiller qualité ’ intégration code produit équipe développement respect norme standard associé technologie utilisées analyser besoin client transformer fonctionnalité application service implémenter agir qualité support technique cas difficulté liées application service partenaire client cas échéant assurer ’ livrables préparer documentation application service contribuer formation client utilisateur objectif moyen terme progression devenir solution assurer rôle suivant jouer rôle premier plan abordant détail technique très spécifiques ainsi discutant résultat commercial général traduire aisément exigence client conception distinguée consacrer sécurité déploiement performance contrôler tous élément chaîne “ serveur jusqu ’ client ” créer documentation technique collaborer définir stratégie test diriger définir mettre pipeline déploiement répondent exigence contribuer for agissant tant ’ lors phase soumission collaborer équipe gestion produit partenaire service technique aider identifier nouvelle fonctionnalité capacité exigence profil recherché profil visant transformation architecte solution solution contexte solution bancaires formation génie logiciel expérience souhaitée minimum an connaissance requises java java message service container docker container orchestration architecture apis pattern autres leadership set “ ” in have créé solution service expérience portail content management familiarisé architectural pattern ’ expérience docker utilisé ’ intégration api merci candidature mail suivant date
architecte azure,poste vacants poste ouvert type désiré an niveau ingénieur rémunération proposée confidentiel langue français anglais genre indifférent description description poste azure chargé concevoir développer maintenir solution basées azure professionnel joue rôle essentiel conception migration charge travail performance garantie sécurité environnement azure responsabilité concevoir développer architecture robustes évolutives sécurisées azure collaborer équipe développement définir exigence technique concevoir solution fournir recommandation mener évaluation approfondies besoin client recommander solution adaptées leurs objectif métier superviser migration charge travail ver azure assurant continuité opération sécurité donnée mettre pratique gouvernance optimiser coût améliorer performance assurer conformité réglementaire développer modèle script déployer gérer ressource azure manière efficace assurer veille technologique nouvelle fonctionnalité meilleur pratique recommander initiative continue fournir support technique avancé résoudre problème complexe lié azure service exigence compétence requises excellente maîtrise azure compris service expérience pratique conception mise grand échelle connaissance approfondie service azure tels azure azure service azure azure etc solide compétence conception modélisation documentation technique capacité travailler efficacement environnement agile collaborer équipe inter fonctionnelles expérience déploiement processus laide tels etc fort compétence communication résolution problème certification azure exemple azure solution expert plus qualification diplôme universitaire informatique génie logiciel ingénierie système domaine connexe avoir an ’ expérience plus conception mise solution azure remarque rôle azure nécessite expertise approfondie conception déploiement gestion solution azure candidat doivent être capables comprendre besoin métier proposer architecture efficaces fournir leadership technique garantir succès projet date mot clé architecte azure architecte azure azure azure service azure azure informatique ingénierie
senior manager,poste vacants poste ouvert type désiré temps plein an niveau ingénieur langue français anglais genre indifférent description business solution premier intégrateur leader solution télécommunications filiale groupe acteur industriel majeur présent marché ’ automobile ’ énergie télécommunication travers métier câble ’ électronique tic recrute manager senior objectif poste manager responsable développement gestion compte client secteur technologie objectif principal renforcer relation existantes nouvelle opportunité contribuer croissance revenu responsabilité principale gérer développer portefeuille client existant secteur identifier besoin client proposer solution adaptées leurs défi négocier contrat accord commercial client collaborer étroitement équipe interne assurer satisfaction client surveiller tendance marché anticiper opportunité atteindre dépasser objectif vente défini avantage condition salarial compétitif avantage sociaux assurance santé opportunité formation continue développement professionnel environnement travail dynamique sein dune entreprise croissance exigence qualification compétence requises portefeuille client solide expérience confirmé tant manager secteur connaissance outil excellentes compétence communication négociation connaissance approfondie lié technologie compréhension tendance évolution secteur capacité établir relation solide client comprendre leurs besoin profil recherché diplôme universitaire domaine lié affaire orientée résultat aptitude atteindre dépasser objectif vente esprit capacité travailler étroite collaboration différentes équipe autonome capable gérer plusieurs compte simultanément maîtrise plus date mot clé gestion compte développement commercial gestion portefeuille client analyse besoin client
,poste vacants poste ouvert type désiré an niveau licence bac rémunération proposée entre langue anglais genre féminin description are a multinational for in for are for relation a job training transportation a position off bonus challenge contractssivp–cap–cdi exigence qualification fluent in communication open are for a stable job for date mot clé centre communication
développeur,poste vacants poste ouvert type désiré an langue français description premier intégrateur leader solution télécommunications filiale groupe acteur industriel majeur présent marché ’ automobile ’ énergie télécommunication travers métier câble ’ électronique tic assistons client transformation digitale offre complète va conseil jusqu ’ mise place ’ exploitation solution mesure recrutons développeur responsabilité générale veiller qualité ’ intégration code produit équipe développement respect norme standard associé technologie utilisées analyser besoin client transformer fonctionnalité application service implémenter agir qualité support technique cas difficulté liées application service partenaire client cas échéant assurer ’ livrables préparer documentation application service contribuer formation client utilisateur objectif moyen terme progression devenir solution assurer rôle suivant jouer rôle premier plan abordant détail technique très spécifiques ainsi discutant résultat commercial général traduire aisément exigence client conception distinguée consacrer sécurité déploiement performance contrôler tous élément chaîne “ serveur jusqu ’ client ” créer documentation technique collaborer définir stratégie test diriger définir mettre pipeline déploiement répondent exigence contribuer for agissant tant ’ lors phase soumission collaborer équipe gestion produit partenaire service technique aider identifier nouvelle fonctionnalité capacité exigence profil recherché profil visant transformation architecte solution solution contexte solution bancaires formation génie logiciel expérience souhaitée entre an connaissance requises java java message service container docker container orchestration architecture apis pattern autres leadership set “ ” in merci candidature mail suivant date
technicien supérieur,poste vacants poste ouvert type désiré an langue français anglais genre masculin description cadre renforcement équipe recrute technicien supérieur électronique dynamique passionné tant technicien supérieur jouerez rôle clé définition planification réalisation travaux collaborer partie prenantes comprendre besoin client définir contour service servi tenir rigueur ’ agenda calendrier ’ exécution projet compris suivi travaux travailler étroite collaboration fonctionnalité développée conformément spécification attente communiquer régulièrement partie prenantes interne externe partager progrès obtenir commentaire ajuster priorité si nécessaire exigence connaissance niveau domaine électronique électrique électromécanique issue ’ formation supérieur minimale tel toute autre formation équivalente spécialisée domaine cité dessus expérience professionnel minimale exigée avoir esprit ’ analyse être rigoureux méthodique être dynamique avoir bonne aisance relationnelle permis conduire type obligatoire date mot clé électronique électrique électromécanique technicien supérieur
assistant direction,poste vacants poste ouvert type désiré temps plein contrat niveau licence bac langue français genre féminin description groupe cherche assistant direction présentable active exigence connaissance technique requises • connaître maîtriser outil bureautique internet • savoir prendre note • capable rédiger français arabe • savoir hiérarchiser classer document • savoir communiquer rapidement efficacement • savoir gérer priorité répondre courtoisie demande différent interlocuteur • organisée méthodique date mot clé assistant direction groupe assistant direction
responsable logistique,poste vacants poste ouvert type désiré an niveau licence bac langue français genre masculin description cadre développement enrichissement équipe logistique société renommé cherche a recruté responsable logistique responsabilité pilotage organisation flux logistique stockage coordonner contrôler opération logistique réception expédition livraison organiser contrôler gestion stock produit rotation etc organiser planifier réaliser inventaire tournant périodique annuels préparation tableau bord exigence avoir expérience minimum an homme terrain aptitude relationnelles capacité motiver communiquer sens ’ organisation rigueur prise compte autres solidarité professionnel capacité travailler équipe date mot clé responsable logistique
magasinier,poste vacants poste ouvert type désiré temps plein contrat genre indifférent description groupe recrute magasinier exigence diplôme minimum bac science technique mathématique discipliné autonome sens responsabilité organisé ponctuel date mot clé magasinier groupe
agent billetterie,poste vacants poste ouvert type désiré temps plein contrat an rémunération proposée entre langue français genre indifférent description profil titulaire ’ diplôme universitaire première expérience réussie secteur vente produit service touristiques agence voyage bonne connaissance produit touristiques disposez sens service développé maîtrisez outil informatique nécessaire vente produit pack office maîtrisez parfaitement minimum an maîtrisez réservation billetterie hôtel etc personnalité entreprenant ambitieux intéresse sens commercial énergique organisée vrai esprit ’ équipe mission qualité voyage participez dynamisation participez création prospect commercial afin développer portefeuille participer développement agence vente assurez également conseil vente service produit exigence maîtrisez parfaitement minimum an maîtrisez réservation billetterie hôtel etc personnalité entreprenant ambitieux intéresse sens commercial énergique organisée vrai esprit ’ équipe date mot clé agent billetterie tourisme avion
responsable administratif,poste vacants poste ouvert type désiré temps plein contrat an niveau licence bac rémunération proposée entre langue français genre féminin description afin renforcer équipe recherchons responsable administratif exigence diplôme licence spécialité licence appliquée français licence fondamentale langue civilisation littérature français professionnel management ingénierie licence appliquée administration affaire toutes spécialité lieu travail autres information excellente maîtrise français oral écrit maîtriser parfaitement langue français si intéressé veuillez envoyer date mot clé responsable bureau plus responsable management administration affaire
ingénieur développement,poste vacants poste ouvert type désiré description client français cherchons deux ingénieur étude développement amont projet participez étude faisabilité conception ’ application ’ intègrent offre produit contrôle ’ accès ’ participez ensuite choix technique réalisation prototype développez module logiciel implémentez test unitaire test automatique rédigez document technique assurer travail environnement technique • développement logiciel applicatif • développement base donnée • déploiement docker • protocole communication • code • • environnement studio code • méthodologie développement exigence connaissance technologie docker expérience minimale poste similaire an date mot clé docker ingénieur étude développement ingénieur développement
déclarant douane,poste vacants poste ouvert type désiré temps plein an niveau licence bac langue français anglais arabe description groupe bâtiment leader marché depuis spécialisé ’ industrie distribution matériaux construction cadre développement commercial vison recruter déclarant douane rattaché directement département achat ’ international transit charge ’ collecter vérifier document douanier renseigner partie concernées chef produit spécificité marchandise importer déclaration douanier suivre système ’ état chaque déclaration déposée assister site douane traiter inspecteur différentes question dédouanement régulariser écart anomalie déclaration déposées collecter vérifier document douanier exigence issu ’ formation académique commerce international transport logistique forte capacité familiariser environnement métier dynamique forte évolution justifiez expérience confirmé ’ moins an domaine similaire possédez réelle capacité suivre méticuleusement détail chaque dossier déclaration bien familiarisé tarif douanier exigence administratif douanier voulez intégrer nouvelle structure motivée orientée résultat plein projet plus ’ information pouvez également adresser message travail groupe poste date mot clé groupe déclarant douane douane déclarant douane commerce international transport logistique
coursier chauffeur,poste vacants poste ouvert type désiré temps plein an genre masculin description récupération commande chez fournisseur dépôt récupération tout type document liaison activité ’ entreprise vérification chargement marchandise faire course diverses selon besoin etc veiller bon fonctionnement véhicule contrôle régulier état propreté exigence permis conduite obligatoire confident rigoureux ponctuel débrouillard sociable date mot clé hôtel coursier chauffeur
juriste,poste vacants poste ouvert type désiré description marketing première société saoudite actuellement recherche juriste bureau saoudite activité · suivi dossier juridique société société proche document juridiques enregistrement contentieux etc… · tenue dossier conseil assemblée générale société société proche · vérification contrat société selon demande dg · veille juridique réglementaire · représenter société devant instance judiciaires administratif · conseil dg question juridiques exigence juriste titulaire dune maîtrise droit affaire · expérience an poste similaire · bonne connaissance besoin société date mot clé droit affaire juriste
ingénieur automatisme,poste vacants poste ouvert type désiré an niveau ingénieur rémunération proposée confidentiel langue français arabe description tâche sou supervision directe opération automatisme responsable conception système automatisés développement conformité norme réglementation capteur exigence profil recherché profil jeune dynamique motivé an poste similaire date mot clé capital humain industrie technique maintenance automatisme automation capital humain ingénieur automatisme
assistant commerciale,poste vacants poste ouvert type désiré temps plein an niveau licence bac rémunération proposée entre langue français anglais arabe genre féminin description mission principale assurer processus traitement commande jusqu ’ facturation livraison actualiser base donnée client mettre jour tableau statistique vente proposer éventuellement offre commerciale client ainsi offre personnalisées communiquer clientèle information relative vente devis facture délai livraison information technique produit prendre aide préparation réunion déplacement commercial actualiser base donnée tableau prévision vente commande assurer coordination entre différent acteur direction commerciale assurer ’ activité commerciale marketing direction assister ’ équipe promoteur assurer processus mise valeur marque magasin suivre déroulement action assurer veille concurrentielle participer qualifier segmenter clientèle force vente exigence compétence professionnel outil informatique savoir concevoir rédiger argument vente longue étranger avoir très bonne connaissance ’ entreprise secteur ’ activité ’ environnement concurrentiel compétence humaines sens présentation courtoisie sens relationnel sens ’ organisation aisance rédactionnelle date mot clé assistance coordination gestion clientèle commercial vente assistant commerciale
ingénieur,poste vacants poste ouvert type désiré temps plein an niveau ingénieur langue français anglais arabe genre masculin description groupe pionnier domaine bâtiment depuis plus an fait avancer espérons rejoindrez chemin occupant poste ’ ingénieur zone compte département comptoir dédié développement système sec humide principale mission détecter opportunité marché concrétiser affaire commerciale portefeuille client travailler prospection active continue contribuer activement veille concurrentielle département proposer solution adéquates fonction besoin prospection effectuées exigence formation génie civil architecture possédez expérience significative terme stage exprimez aisément français disposez également capacité ’ argumentation conviction faire partie dune entreprise valorise tout faisons date mot clé génie civil bâtiment ingénieur groupe ingénieur
,poste vacants poste ouvert type désiré débutant niveau bac professionnel cap rémunération proposée entre langue français description totalement exportateur lac recrute présentation société totalement exportateur fondé jeune promoteur dont ’ activité principale création fabrication plan sécurité incendie ’ avant tout aventure humaine ’ a cessé grandir cadre développement activité société composée actuellement collaborateur recherche nouveau talent prêt relever défi ’ entreprise ambitieux place développement recrutons graphiste société propose avantage suivant formation interne ticket restaurant prime transport gratification annuelle exigence titulaire ’ licence multimédia licence design graphique équivalent · excellente maîtrise langue français · maîtrise parfaite ’ compétence · être polyvalent curieux · être doté esprit créatif artistique · être réactif · avoir bon relationnel dynamique polyvalent · capacité ’ écoute dialogue · organisé · ponctuel · capable gérer délai production parfois très court date mot clé design dessinateur infographie graphiste français graphique design graphiste fabrication dm multimédia design graphique dm
assistant marketing,poste vacants poste ouvert type désiré an langue français anglais description • office marketing préparation document ’ aide vente document formation flyers… préparation offre exposition passation commande • suivi campagne communication • prise charge client • participer création contenu ligne réseau sociaux • participer réalisation formation • aider réalisation événement gestion logistique partenariat coordination prestataire … exigence • licence marketing communication équivalent • expérience souhaitée an minimum connaissance plan média marketing digital organisation événement • très bonne connaissance logiciel création graphique date mot clé capital humain chargé clientèle vente marketing digital digital marketing assistant
,poste vacants poste ouvert type désiré an niveau bac grand langue français anglais genre féminin description société industriel sise cherche renforcer capital humain recrutement responsabilité principale conception graphique animation création identité visuel campagne publicitaire montage vidéo exigence profil recherché justifiant an poste similaire professionnel ’ anglais français sens créativité ’ écoute utilisateur capable travailler équipe pluridisciplinaire date mot clé graphique administration
développeur mobile,poste vacants poste ouvert type désiré temps plein an niveau licence bac rémunération proposée entre langue français genre indifférent description recrutons « développeur mobile » compte ’ client opérant secteur ’ située ben niveau bac minimum an ’ expérience bon relationnel travail équipe bon niveau français télé travail envisageable partir ’ première période ’ apprentissage salaire fonction profil partir exigence primordial poste avoir bon niveau français obligatoire minimum an obligatoire technologie suivant test unitaire test auto net mobile cross natif front front base donnée – relationnel ci studio date mot clé ingénierie informatique technologie développement mobile emploi ci studio
responsable méthode,poste vacants poste ouvert type désiré an niveau licence bac rémunération proposée confidentiel langue français anglais description société peinture métallisation plastique située zone industriel actuellement recherche dune responsable méthode industrialisation poste responsable méthode suivi essai nouveau projet conception suivi outillage production organisation poste travail mode opératoire optimisation production calcul suivi indicateur méthode… date mot clé responsable méthode industrie
responsable maintenance,poste vacants poste ouvert type désiré an niveau ingénieur rémunération proposée confidentiel langue français arabe genre indifférent description responsable maintenance appelé réparation machine coudre réparation presse coupe programmation automate confection exigence expérience plus an maintenance secteur confection date mot clé maintenance industriel responsable maintenance
ingénieur routier,poste vacants poste ouvert type désiré temps plein an niveau ingénieur description bureau tunisien étude cherche recruter ingénieur routier expérience minimale an bureau maîtrisant logiciel conception mensura auto envoyer e-mail date mot clé ingénieur routier mensura auto
enseignant,poste vacants poste ouvert type désiré temps plein contrat débutant niveau licence bac langue français genre indifférent description enseignant français enseignant arabe enseignant anglais exigence motivé dynamique date mot clé art dramatique français anglais enseignement
stage testeur qualité logicielle distance,poste vacants poste ouvert type désiré temps plein temps partiel indépendant description taille humaine management proximité culture valeur inscrivent collaborateur développement effet relation consultant levier proposition valeur permettant relation durable tout accompagnant devenir expert sens intégrer devenir talent chez voir proposer mission stimulantes véritable plan carrière exigence technologie net azure méthodologie agile lieux choix distance chargé piloter tester projet participer activement opération quotidien proposer idée original intégrer projet quotidien date mot clé software stage testeur qualité logicielle distance net azure
technicien maintenance,poste vacants poste ouvert type désiré an niveau licence bac langue français genre masculin description société industrie spécialisés domaine rénovation automobile situés zone industriel ben recrute technicien maintenance expérience poste similaires entre an tache mission rattaché chargé maintenance rejoindras équipe technicien maintenance répondre besoin ’ entreprise veiller bon fonctionnement machine production maintenant état optimum éviter panne assurant suivi régulier machine équipement localiser diagnostiquer rapidement panne dysfonctionnement anomalie savoir lire interpréter schéma plan dossier technique maîtrise différent domaine technique électricité électronique mécanique hydraulique pneumatique électromécanique etc conformer rigueur norme sécurité référentiel notice procédure maintenance logique claire construction analyse diagnostiques effectuer opération travaux neuf amélioration effectuer opération maintenance préventive respectant planning établi communiquer consigne conseiller utilisateur participer réalisation formation nécessaire faire compte rendu intervention clarté précision oral écrit exigence profil demandé titulaire ’ diplôme technicien supérieur maintenance expérience confirmé poste similaire entre an très bon sens communication ’ écoute ’ esprit ’ équipe être organisé rigoureux méthodique capable ’ avoir bon relationnel bonne maîtrise langue français date mot clé industrie maintenance technicien maintenance automobile mécanique
